id,name,day,start_on,finish_on,teacher_name
6846 L,CSE 1110,W F,8:00 AM,8:55 AM,G.Moon
6847 L,CSE 1110,W F,10:20 AM,11:15 AM,J.Xu
6848 L,CSE 1110,W F,4:10 PM,5:05 PM,P.Arora
6849 L ( 6850),CSE 1111,T R,9:35 AM,10:55 AM,C.Grimme
6850 B,CSE 1111,M,9:10 AM,10:05 AM,C.Grimme
6851 L ( 6852),CSE 1111,T R,11:10 AM,12:05 PM,C.Grimme
6852 B,CSE 1111,M,11:30 AM,12:25 PM,C.Grimme
6853 L ( 6854),CSE 1111,T R,12:45 PM,1:40 PM,C.McKinley
6854 B,CSE 1111,M,12:40 PM,1:35 PM,C.McKinley
6855 L ( 6856),CSE 1111,T R,2:20 AM,3:15 AM,C.Grimme
6856 B,CSE 1111,M,1:50 PM,2:45 PM,C.Grimme
6857 L ( 6858),CSE 1112,MT,5:30 PM,6:25 PM,D.Rodgers
6858 B,CSE 1112,W,5:20 PM,6:15 PM,D.Rodgers
6889 L,CSE 1113,M,10:05 AM,11:00 AM, M.Mallon
10869 L (10870),CSE 1114,T,3:00 PM,3:55 PM,C.McKinley
10870 B,CSE 1114,R,3:00 PM,3:55 PM,C.McKinley
6859 L ( 6860),CSE 1211,F,3:00 PM,3:55 PM,K.Wang
6860 B,CSE 1211,M W,3:00 PM,3:55 PM,K.Wang
8373 L ( 8375),CSE 1222,M W,11:30 AM,12:25 PM,A.Bashizade
8375 B,CSE 1222,F,11:30 AM,12:25 PM,A.Bashizade
8782 L ( 8783),CSE 1222,M W,9:10 AM,10:05 AM,X.Li
8783 B,CSE 1222,F,9:10 AM,10:05 AM,X.Li
9388 L ( 9389),CSE 1222,M W,4:00 AM,4:55 AM,P.Muntimadugu
9389 B,CSE 1222,F,12:40 PM,1:35 PM,P.Muntimadugu
9603 L ( 9604),CSE 1222,M W,1:50 PM,2:45 PM,P.Ghai
9604 B,CSE 1222,F,1:50 PM,2:45 PM,P.Ghai
9605 L ( 9606),CSE 1222,M W,3:00 PM,3:55 PM,D.Nandi
9606 B,CSE 1222,F,3:00 PM,3:55 PM,D.Nandi
9607 L ( 9608),CSE 1222,M W,9:10 AM,10:05 AM,X.Zhao
9608 B,CSE 1222,F,9:10 AM,10:05 AM,X.Zhao
9609 L ( 9610),CSE 1222,M W,12:40 PM,1:35 PM,H.Taherian
9610 B,CSE 1222,F,12:40 PM,1:35 PM,H.Taherian
10293 L (10297),CSE 1222,M W,10:20 AM,11:15 AM,S.Lavigne
10297 B,CSE 1222,F,10:20 AM,11:15 AM,S.Lavigne
34462 L (34467),CSE 1222,M W,8:00 AM,8:55 AM,S.Roth
34467 B,CSE 1222,F,8:00 AM,8:55 AM,S.Roth
34464 L (34468),CSE 1222,M W,10:20 AM,11:15 AM,Y.Liu
34468 B,CSE 1222,F,10:20 AM,11:15 AM,Y.Liu
34465 L (34469),CSE 1222,M W,11:30 AM,12:25 PM,C.Cai
34469 B,CSE 1222,F,11:30 AM,12:25 PM,C.Cai
34466 L (34470),CSE 1222,M W,1:50 PM,2:45 PM,S.Zong
34470 B,CSE 1222,F,1:50 PM,2:45 PM,S.Zong
9613 L ( 9614),CSE 1223,M W,8:00 AM,8:55 AM,F.Deiderich
9614 B,CSE 1223,R,8:00 AM,8:55 AM,F.Deiderich
6861 L ( 6862),CSE 1223,M W,9:10 AM,10:05 AM,R.Mitra
6862 B,CSE 1223,R,9:10 AM,10:05 AM,R.Mitra
6863 L ( 6864),CSE 1223,M W,10:20 AM,11:15 AM,P.Kousha
6864 B,CSE 1223,R,10:20 AM,11:15 AM,P.Kousha
6865 L ( 6866),CSE 1223,M W,11:30 AM,12:25 PM,N.Mirzaei
6866 B,CSE 1223,R,11:30 AM,12:25 PM,N.Mirzaei
6867 L ( 6868),CSE 1223,M W,12:40 PM,1:35 PM,T.Eicher
6868 B,CSE 1223,R,12:40 PM,1:35 PM,T.Eicher
6869 L ( 6870),CSE 1223,M W,10:20 AM,11:15 AM,A.Roychowdhury
6870 B,CSE 1223,R,10:20 AM,11:15 AM,A.Roychowdhury
9397 L ( 9398),CSE 1223,M W,1:00 PM,1:55 PM,S.Zhang
9398 B,CSE 1223,R,1:00 PM,1:55 PM,S.Zhang
9765 L ( 9766),CSE 1223,M W,5:20 PM,6:15 PM,T.Ripke
9766 B,CSE 1223,R,5:20 PM,6:15 PM,T.Ripke
9767 L ( 9768),CSE 1223,M W,1:50 PM,2:45 PM,A.Aljanaideh
9768 B,CSE 1223,R,1:50 PM,2:45 PM,A.Aljanaideh
10045 L (10046),CSE 1223,M W,11:30 AM,12:25 PM,S.Latif
10046 B,CSE 1223,R,11:30 AM,12:25 PM,S.Latif
10120 L (10121),CSE 1223,M W,8:00 AM,8:55 AM,A.Sahoo
10121 B,CSE 1223,R,8:00 AM,8:55 AM,A.Sahoo
10295 L (10296),CSE 1223,M W,4:10 PM,5:05 PM,D.Plautz
10296 B,CSE 1223,R,4:10 PM,5:05 PM,D.Plautz
10624 L (10625),CSE 1223,M W,1:00 PM,1:55 PM,S.Asim
10625 B,CSE 1223,R,1:00 PM,1:55 PM,S.Asim
11105 L (11106),CSE 1223,M W,9:10 AM,10:05 AM,J.Luken
11106 B,CSE 1223,R,9:10 AM,10:05 AM,J.Luken
11117 L (11118),CSE 1223,M W,5:20 PM,6:15 PM,L.Pan
11118 B,CSE 1223,R,5:20 PM,6:15 PM,L.Pan
11193 L (11194),CSE 1223,M W,4:10 PM,5:05 PM,R.Fu
11194 B,CSE 1223,R,4:10 PM,5:05 PM,R.Fu
36756 L (36757),CSE 1223,M W,1:50 PM,2:45 PM,P.Plantinga
36757 B,CSE 1223,R,1:50 PM,2:45 PM,P.Plantinga
6890 L,CSE 2111,T R,9:10 AM,10:05 AM,C.Farris
6891 B ( 6890),CSE 2111,M,12:10 PM,1:05 PM,C.Farris
6892 B ( 6890),CSE 2111,M,2:15 PM,3:10 PM,C.Farris
6893 L,CSE 2111,T R,12:40 PM,1:35 PM,C.Farris
6894 B ( 6893),CSE 2111,W,12:10 PM,1:05 PM,C.Farris
6895 B ( 6893),CSE 2111,W,2:15 PM,3:10 PM,C.Farris
6896 L,CSE 2111,T R,11:30 AM,12:25 PM,L.Crawford
6897 B ( 6896),CSE 2111,W,8:00 AM,8:55 AM,L.Crawford
6898 B ( 6896),CSE 2111,W,10:05 AM,11:00 AM,L.Crawford
9553 L,CSE 2111,W F,8:00 AM,8:55 AM,L.Crawford
9554 B ( 9553),CSE 2111,T,8:00 AM,8:55 AM,L.Crawford
35605 B ( 9553),CSE 2111,T,10:05 AM,11:00 AM,L.Crawford
6900 B ( 6899),CSE 2111,M,4:20 PM,5:15 PM,L.Rice
6901 B ( 6899),CSE 2111,M,6:25 PM,7:20 PM,L.Rice
6905 L,CSE 2111,T R,5:30 PM,6:25 PM,M.Jackson
6906 B ( 6905),CSE 2111,W,4:20 PM,5:15 PM,M.Jackson
6907 B ( 6905),CSE 2111,W,6:25 PM,7:20 PM,M.Jackson
9749 L,CSE 2111,W F,1:00 PM,1:55 PM,C.Farris
9757 B ( 9749),CSE 2111,T,12:10 PM,1:05 PM,C.Farris
9758 B ( 9749),CSE 2111,T,2:15 PM,3:10 PM,C.Farris
10299 L,CSE 2111,T R,8:00 AM,8:55 AM,L.Crawford
10300 B (10299),CSE 2111,M,8:00 AM,8:55 AM,L.Crawford
10301 B (10299),CSE 2111,M,10:05 AM,11:00 AM,L.Crawford
10634 L,CSE 2111,M W,6:30 PM,7:25 PM,M.Jackson
10635 B (10634),CSE 2111,T,4:20 PM,5:15 PM,M.Jackson
35617 B (10634),CSE 2111,T,6:25 PM,7:20 PM,M.Jackson
37123 L,CSE 2111,M W,1:50 PM,2:45 PM,D.Kline
37124 B (37123),CSE 2111,F,4:20 PM,5:15 PM,D.Kline
10871 L,CSE 2112,T,6:25 PM,7:20 PM,L.Rice
10872 B (10871),CSE 2112,R,6:25 PM,7:20 PM,L.Rice
36252 B (10871),CSE 2112,R,6:25 PM,7:20 PM,L.Rice
6874 L,CSE 2122,W F,3:55 PM,4:50 PM,A.Sikdar
36588 L,CSE 2123,W F,9:10 AM,10:05 AM,A.Chowdhary
6875 L,CSE 2123,W F,10:20 AM,11:15 AM,Y.Xu
9985 L,CSE 2123,W F,1:50 PM,2:45 PM,L.Madrid
6876 L,CSE 2133,M W,5:30 PM,6:25 PM,S.Gomori
9615 L ( 9616),CSE 2221,T R,8:00 AM,8:55 AM,M.Boggus
9616 B,CSE 2221,W F,8:00 AM,8:55 AM,M.Boggus
6877 L ( 6878),CSE 2221,T R,9:10 AM,10:05 AM,M.Boggus
6878 B,CSE 2221,W F,9:10 AM,10:05 AM,M.Boggus
6879 L ( 6880),CSE 2221,T R,10:20 AM,11:15 AM,B.Bair
6880 B,CSE 2221,W F,10:20 AM,11:15 AM,B.Bair
6881 L ( 6882),CSE 2221,T R,11:30 AM,12:25 PM,A.Weide
6882 B,CSE 2221,W F,11:30 AM,12:25 PM,A.Weide
6883 L ( 6884),CSE 2221,T R,12:40 PM,1:35 PM,B.Bair
6884 B,CSE 2221,W F,12:40 PM,1:35 PM,B.Bair
6885 L ( 6886),CSE 2221,T R,1:50 PM,2:45 PM,B.Bair
6886 B,CSE 2221,W F,1:50 PM,2:45 PM,B.Bair
6887 L ( 6888),CSE 2221,T R,1:00 PM,1:55 PM,S.Joshi
6888 B,CSE 2221,W F,1:00 PM,1:55 PM,S.Joshi
8722 L ( 8723),CSE 2221,T R,4:10 PM,5:05 PM,A.Grupa
8723 B,CSE 2221,W F,4:10 PM,5:05 PM,A.Grupa
9783 L ( 9784),CSE 2221,T R,5:20 PM,6:15 PM,R.LaTour
9784 B,CSE 2221,W F,5:20 PM,6:15 PM,R.LaTour
10621 L (10622),CSE 2221,T R,9:10 AM,10:05 AM,B.Trevor
10622 B,CSE 2221,W F,9:10 AM,10:05 AM,B.Trevor
11119 L (11120),CSE 2221,T R,10:20 AM,11:15 AM,S.Joshi
11120 B,CSE 2221,W F,10:20 AM,11:15 AM,S.Joshi
34571 L (34574),CSE 2221,T R,11:30 AM,12:25 PM,S.Joshi
34574 B,CSE 2221,W F,11:30 AM,12:25 PM,S.Joshi
34575 L (34576),CSE 2221,T R,4:10 PM,5:05 PM,A.Gilliam
34576 B,CSE 2221,W F,4:10 PM,5:05 PM,A.Gilliam
9785 L ( 9786),CSE 2231,W F,8:00 AM,8:55 AM,C.Kiel
9786 B,CSE 2231,T R,8:00 AM,8:55 AM,C.Kiel
9617 L ( 9618),CSE 2231,W F,9:10 AM,10:05 AM,C.Kiel
9618 B,CSE 2231,T R,9:10 AM,10:05 AM,C.Kiel
9619 L ( 9620),CSE 2231,W F,10:20 AM,11:15 AM,C.Kiel
9620 B,CSE 2231,T R,10:20 AM,11:15 AM,C.Kiel
9621 L ( 9622),CSE 2231,W F,11:30 AM,12:25 PM,P.Bucci
9622 B,CSE 2231,T R,11:30 AM,12:25 PM,P.Bucci
9623 L ( 9624),CSE 2231,W F,12:40 PM,1:35 PM,W.Heym
9624 B,CSE 2231,T R,12:40 PM,1:35 PM,W.Heym
9625 L ( 9626),CSE 2231,W F,1:50 PM,2:45 PM,A.Wolf
9626 B,CSE 2231,T R,1:50 PM,2:45 PM,A.Wolf
9627 L ( 9628),CSE 2231,W F,1:00 PM,1:55 PM,A.Wolf
9628 B,CSE 2231,T R,1:00 PM,1:55 PM,A.Wolf
9905 L ( 9948),CSE 2231,W F,4:10 PM,5:05 PM,A.Wolf
9948 B,CSE 2231,T R,4:10 PM,5:05 PM,A.Wolf
10794 L (10795),CSE 2231,W F,12:40 PM,1:35 PM,J.Morris
10795 B,CSE 2231,T R,12:40 PM,1:35 PM,J.Morris
11070 L (11071),CSE 2231,W F,9:10 AM,10:05 AM,W.Heym
11071 B,CSE 2231,T R,9:10 AM,10:05 AM,W.Heym
34587 L (34588),CSE 2231,W F,10:20 AM,11:15 AM,W.Heym
34588 B,CSE 2231,T R,10:20 AM,11:15 AM,W.Heym
6908 L,CSE 2321,M W F,8:00 AM,8:55 AM,P.Bucci
9923 L,CSE 2321,M W F,9:10 AM,10:05 AM,P.Bucci
6909 L,CSE 2321,M W F,10:20 AM,11:15 AM,D.Close
6910 L,CSE 2321,M W F,11:30 AM,12:25 PM,D.Close
9924 L,CSE 2321,M W F,12:40 PM,1:35 PM,D.Close
6911 L,CSE 2321,M W F,1:50 PM,2:45 PM,D.Zaccai
6912 L,CSE 2321,M W F,1:00 PM,1:55 PM,D.Close
10522 L,CSE 2321,T R,7:00 PM,7:55 PM,R.Ilin
11068 L,CSE 2321,M W F,12:40 PM,1:35 PM,A.Rossi
34590 L,CSE 2321,M W F,4:10 PM,5:05 PM,D.Zaccai
34592 L,CSE 2321,M W F,1:00 PM,1:55 PM,M.Fritz
34593 L,CSE 2321,M W F,1:50 PM,2:45 PM,M.Fritz
6914 L,CSE 2331,M W,9:35 AM,10:30 AM,R.Wenger
6916 L,CSE 2331,M W F,1:50 PM,2:45 PM,K.Supowit
9382 L,CSE 2331,M W F,12:40 PM,1:35 PM,K.Supowit
34594 L,CSE 2331,T R,11:10 AM,12:05 PM,D.Zaccai
34595 L,CSE 2331,W F,11:10 AM,12:05 PM,D.Zaccai
36546 L,CSE 2331,T R,11:10 AM,12:05 PM,Y.Wang
9555 L,CSE 2421,T R,9:10 AM,10:05 AM,G.Babic
10514 L,CSE 2421,TWRF,1:50 PM,2:45 PM,J.Jones
10515 L,CSE 2421,M W,8:15 AM,9:10 AM,A.Baxter
10302 L,CSE 2421,TWRF,10:20 AM,11:15 AM,J.Jones
34603 L,CSE 2421,TWRF,1:00 PM,1:55 PM,J.Jones
6917 L,CSE 2431,W F,12:45 PM,1:40 PM,G.Green
6918 L,CSE 2431,T R,2:20 PM,3:15 PM,G.Babic
6919 L,CSE 2431,T R,12:45 PM,1:40 PM,F.Qin
6920 L,CSE 2431,T R,11:10 AM,12:05 PM,G.Babic
10030 L,CSE 2431,T R,9:35 AM,10:30 AM,F.Qin
10519 L,CSE 2431,T R,12:45 PM,1:40 PM,G.Green
6913 L,CSE 2451,M,8:00 AM,8:55 AM,K.Genc
6921 L,CSE 2501,T,9:35 AM,10:30 AM,M.Mallon
6922 L,CSE 2501,R,9:35 AM,10:30 AM,M.Mallon
6923 L,CSE 2501,T,12:45 PM,1:40 PM,M.Mallon
10507 L,CSE 2501,R,12:45 PM,1:40 PM,M.Mallon
10976 L,CSE 2501,T,5:30 PM,6:25 PM,W.Martin
35622 L,CSE 2501,R,5:30 PM,6:25 PM,J.Johnston
6924 L,CSE 3231,T R,2:20 PM,3:15 PM,A.Cline
36141 L,CSE 3231,T R,3:55 PM,4:50 PM,A.Cline
10546 L,CSE 3231,M W,6:00 PM,6:55 PM,S.Hossain
6925 L,CSE 3232,M W,5:30 PM,6:25 PM,T.Bihari
35752 L,CSE 3232,T R,6:30 PM,7:25 PM,K.Jaber
6926 L,CSE 3241,M W,8:00 AM,8:55 AM,P.Wiksell
6927 L,CSE 3241,T R,4:30 PM,5:25 PM,P.Krishnasamy
9717 L,CSE 3241,T R,2:20 PM,3:15 PM,L.Madrid
10303 L,CSE 3241,T R,12:45 PM,1:40 PM,L.Madrid
10978 L,CSE 3241,M W,5:30 PM,6:25 PM,R.Wagner
11027 L,CSE 3241,T R,3:55 PM,4:50 PM,A.Nandi
34607 L,CSE 3241,W F,8:35 AM,9:30 AM,J.Eden
6928 L,CSE 3321,M W F,10:20 AM,11:15 AM,M.Fritz
10813 L,CSE 3321,M W F,11:30 AM,12:25 PM,M.Fritz
10518 L,CSE 3341,M W F,11:30 AM,12:25 PM,M.Bond
6929 L,CSE 3341,M W F,1:00 PM,1:55 PM,N.Soundarajan
7385 L,CSE 3341,M W F,10:20 AM,11:15 AM,M.Bond
6932 L,CSE 3421,T R,11:10 AM,12:05 PM,C.Stewart
35757 L,CSE 3430,M W F,2:20 PM,3:15 PM,G.Green
6933 L,CSE 3461,T R,11:10 AM,12:05 PM,A.Champion
6934 L,CSE 3461,T R,2:20 PM,3:15 PM,K.Srinivasan
9925 L,CSE 3461,T R,5:45 PM,6:40 PM,A.Rivera
10052 L,CSE 3461,M W F,1:00 PM,1:55 PM,A.Champion
35844 L,CSE 3521,W F,9:35 AM,10:30 AM,D.Newman-Griffis
6936 L,CSE 3521,T R,8:00 AM,8:55 AM,J.Morris
9833 L,CSE 3521,T R,9:35 AM,10:30 AM,A.Stiff
11012 L,CSE 3521,W F,2:20 PM,3:15 PM,A.Plummer
34611 L,CSE 3521,W F,11:10 AM,12:05 PM,A.Plummer
6937 L,CSE 3541,M W F,12:40 PM,1:35 PM,H.Wang
6938 L,CSE 3541,M W F,9:10 AM,10:05 AM,N.Shareef
6939 L,CSE 3901,M W F,12:40 PM,1:35 PM,N.Shareef
9629 L,CSE 3901,M W F,9:10 AM,10:05 AM,R.Joseph
9720 L,CSE 3901,M W,5:30 PM,6:25 PM,C.Giles
10497 L,CSE 3901,M W F,1:50 PM,2:45 PM,N.Shareef
9995 L,CSE 3902,T R,5:30 PM,6:25 PM,S.Mills
34612 L,CSE 3902,M W F,11:30 AM,12:25 PM,M.Boggus
35772 L,CSE 3903,M W F,10:20 AM,11:15 AM,P.Sivilotti
6872 L,CSE 4251,M,9:10 AM,10:05 AM,M.Das
6873 L,CSE 4252,M,11:30 AM,12:25 PM,S.Kumari
6871 L,CSE 4253,M,12:40 PM,1:35 PM,R.Kidwell
6942 L,CSE 4471,W F,11:10 AM,12:05 PM,J.Jones
9926 L,CSE 4471,W F,12:45 PM,1:40 PM,J.Jones
10048 L (10049),CSE 5022,T R,8:00 AM,8:55 AM,M.Boggus
10049 B,CSE 5022,W F,8:00 AM,8:55 AM,M.Boggus
10088 L (10089),CSE 5022,T R,9:10 AM,10:05 AM,M.Boggus
10089 B,CSE 5022,W F,9:10 AM,10:05 AM,M.Boggus
10090 L (10091),CSE 5022,T R,10:20 AM,11:15 AM,B.Bair
10091 B,CSE 5022,W F,10:20 AM,11:15 AM,B.Bair
10092 L (10093),CSE 5022,T R,11:30 AM,12:25 PM,A.Weide
10093 B,CSE 5022,W F,11:30 AM,12:25 PM,A.Weide
10094 L (10095),CSE 5022,T R,12:40 PM,1:35 PM,B.Bair
10095 B,CSE 5022,W F,12:40 PM,1:35 PM,B.Bair
10096 L (10097),CSE 5022,T R,1:50 PM,2:45 PM,B.Bair
10097 B,CSE 5022,W F,1:50 PM,2:45 PM,B.Bair
10098 L (10099),CSE 5022,T R,1:00 PM,1:55 PM,S.Joshi
10099 B,CSE 5022,W F,1:00 PM,1:55 PM,S.Joshi
10100 L (10101),CSE 5022,T R,4:10 PM,5:05 PM,A.Grupa
10101 B,CSE 5022,W F,4:10 PM,5:05 PM,A.Grupa
11199 L,CSE 5022,T R,9:10 AM,10:05 AM,B.Trevor
11200 B,CSE 5022,W F,9:10 AM,10:05 AM,B.Trevor
10050 L (10051),CSE 5023,W F,8:00 AM,8:55 AM,C.Kiel
10051 B,CSE 5023,T R,8:00 AM,8:55 AM,C.Kiel
10102 L (10103),CSE 5023,W F,9:10 AM,10:05 AM,C.Kiel
